Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,700.0,18.0,35.0,700.0,0.1,18.006000000000007,0.0,0.0,63.88506317138672,,,,,,,,,,,,,,,,,,,,,7.451573243482468,5.832196611193813,17.780738633005495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,726.0,19.0,26.0,726.0,0.1,9.507999999999996,0.0,0.0,66.68610715866089,,,,,,,,,,,,,,,,,,,,,3.792190622081059,3.403095483420844,9.428250115807392,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,761.0,20.0,35.0,761.0,0.1,11.012999999999993,0.0,0.0,70.2523021697998,,,,,,,,,,,,,,,,,,,,,3.713503810611713,3.8749805485238347,10.90482611403054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,47.0,1.0,47.0,808.0,0.1,23.006000000000007,0.0,0.0,192.76989150047302,,,,,,,,,,,,,,,,,,,,,10.699228993491836,7.329032097928251,22.54821010931441,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,81.0,2.0,34.0,842.0,0.1,14.507999999999996,0.0,0.0,196.30725932121277,,,,,,,,,,,,,,,,,,,,,5.899378488335293,5.0030968619171,14.336078953224098,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,139.0,3.0,58.0,900.0,0.1,24.51500000000002,0.0,0.0,202.06755805015564,,,,,,,,,,,,,,,,,,,,,10.816568001385331,7.414253591902954,23.9354860926188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,167.0,4.0,28.0,928.0,0.1,11.506999999999996,0.0,0.0,205.02197813987732,,,,,,,,,,,,,,,,,,,,,4.388521843100922,3.889238935626061,11.406923829127601,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,194.0,5.0,27.0,955.0,0.1,10.507999999999996,0.0,0.0,207.87922024726868,,,,,,,,,,,,,,,,,,,,,4.148636731187845,3.810878881518905,10.41681001147086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,219.0,6.0,25.0,980.0,0.1,10.005999999999997,0.0,0.0,210.61414337158203,,,,,,,,,,,,,,,,,,,,,4.120487685650208,3.4473507887045507,9.922823532099413,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,247.0,7.0,28.0,1008.0,0.1,9.009999999999994,0.0,0.0,213.57377767562866,,,,,,,,,,,,,,,,,,,,,3.115884713048598,3.17397705908152,8.940627542492082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
